outcome,repr,learner,mean,sd,vs_late
death_30d,cca,gb,0.8864527660779385,0.006726984291628346,0.004188493257353043
death_30d,cca,rf,0.8878234169822674,0.006582333607434384,0.005559144161681906
death_30d,cca,catboost,0.8878331504618977,0.005364658927313396,0.005568877641312198
death_30d,cca_aug,l2,0.8831778926131738,0.0026871341733689783,0.000913619792588305
death_30d,cca_aug,plain,0.8497955969277597,0.00643597392586645,-0.03246867589282576
death_30d,cca_aug,ridge_var,0.8831778926131738,0.0026871341733689783,0.000913619792588305
death_30d,cca_aug,gb,0.9044897886950058,0.007273864333976085,0.022225515874420343
death_30d,cca_aug,rf,0.898662088981701,0.002741414413432704,0.016397816161115464
death_30d,cca_aug,catboost,0.898379818072417,0.005192747507616333,0.016115545251831453
composite_30d,late,l2,0.8422654189980063,0.0034966151646154352,0.0
composite_30d,coop_r0.0,l2,0.8288076403627244,0.007280953246848882,-0.01345777863528197
composite_30d,coop_r0.5,l2,0.832241301691427,0.005725953842352595,-0.010024117306579372
composite_30d,coop_r1.0,l2,0.8395240851501704,0.0049454562034231715,-0.002741333847835925
composite_30d,coop_r2.0,l2,0.8422162196925846,0.00357164244622371,-4.919930542168771e-05
composite_30d,coop_r5.0,l2,0.843791883722426,0.00228341365820345,0.0015264647244196405
composite_30d,raw74,l2,0.8424509614766222,0.0067792286334784815,0.00018554247861590767
composite_30d,raw74,plain,0.8240478487362533,0.007667225717964285,-0.01821757026175308
composite_30d,raw74,ridge_var,0.8424509614766222,0.0067792286334784815,0.00018554247861590767
composite_30d,raw74,gb,0.853454241430317,0.005182692106186067,0.011188822432310674
composite_30d,raw74,rf,0.8468428837867388,0.0014288004680837738,0.004577464788732444
composite_30d,raw74,catboost,0.8526792719789054,0.006563504847126803,0.01041385298089903
composite_30d,pca8,l2,0.8331275323171908,0.0008311794112833016,-0.009137886680815499
composite_30d,pca8,plain,0.8334606727120715,0.0017303697909677284,-0.008804746285934861
composite_30d,pca8,ridge_var,0.8332941025146312,0.0014379010644645141,-0.008971316483375125
composite_30d,pca8,gb,0.8194292237442923,0.004710375865623404,-0.022836195253714053
composite_30d,pca8,rf,0.8285683966814587,0.001867068495390023,-0.01369702231654768
composite_30d,pca8,catboost,0.8293748794134672,0.005209825506857226,-0.012890539584539118
composite_30d,spca,l2,0.8252659335005464,0.0026216599640256555,-0.016999485497459887
composite_30d,spca,plain,0.8252414946298797,0.0035582055105977286,-0.01702392436812661
composite_30d,spca,ridge_var,0.8251746092996335,0.0033223993140263945,-0.017090809698372844
