outcome,threshold,nb_model,nb_treat_all,nb_treat_none,prevalence
composite_30d,0.02,0.1202160570829799,0.11618681702509853,0.0,0.13386308068459657
composite_30d,0.03,0.11524210420185013,0.10707534091195522,0.0,0.13386308068459657
composite_30d,0.04,0.1113742868785656,0.0977740423797881,0.0,0.13386308068459657
composite_30d,0.05,0.107450778535581,0.08827692703641744,0.0,0.13386308068459657
composite_30d,0.060000000000000005,0.10138896114030069,0.07857774540914528,0.0,0.13386308068459657
composite_30d,0.06999999999999999,0.09761547966453717,0.06866997923074901,0.0,0.13386308068459657
composite_30d,0.08,0.09346763048793452,0.05854682683108324,0.0,0.13386308068459657
composite_30d,0.09,0.08945028077057417,0.048201187565490744,0.0,0.13386308068459657
composite_30d,0.09999999999999999,0.08734039663135018,0.037625645205107305,0.0,0.13386308068459657
composite_30d,0.11,0.08243592209005249,0.02681245020741188,0.0,0.13386308068459657
composite_30d,0.12,0.08032340520115583,0.015753500777950666,0.0,0.13386308068459657
composite_30d,0.13,0.07516932242924992,0.0044403226259730755,0.0,0.13386308068459657
composite_30d,0.14,0.07188548359583782,-0.0071359526923295835,0.0,0.13386308068459657
composite_30d,0.15000000000000002,0.06892708183517907,-0.01898461095929818,0.0,0.13386308068459657
composite_30d,0.16,0.0652578879962743,-0.031115380137385046,0.0,0.13386308068459657
composite_30d,0.17,0.06251656994727074,-0.043538457006510156,0.0,0.13386308068459657
composite_30d,0.18000000000000002,0.061005426680183675,-0.056264535750492006,0.0,0.13386308068459657
composite_30d,0.19,0.0578345256421866,-0.06930483866099185,0.0,0.13386308068459657
composite_30d,0.2,0.056845965770171154,-0.08267114914425427,0.0,0.13386308068459657
composite_30d,0.21000000000000002,0.05196372752313453,-0.0963758472346879,0.0,0.13386308068459657
composite_30d,0.22,0.049072158485361415,-0.11043194784026078,0.0,0.13386308068459657
composite_30d,0.23,0.048709236973295655,-0.12485314196805636,0.0,0.13386308068459657
composite_30d,0.24000000000000002,0.04748423626302921,-0.1396538412044782,0.0,0.13386308068459657
composite_30d,0.25,0.04258353708231459,-0.15484922575387122,0.0,0.13386308068459657
composite_30d,0.26,0.03883896121059934,-0.17045529637216678,0.0,0.13386308068459657
composite_30d,0.27,0.03555280168804635,-0.1864889305690458,0.0,0.13386308068459657
composite_30d,0.28,0.03453545232273838,-0.2029679434936159,0.0,0.13386308068459657
composite_30d,0.29000000000000004,0.033403354109990006,-0.219911153965357,0.0,0.13386308068459657
composite_30d,0.3,0.030387705204331115,-0.23733845616486204,0.0,0.13386308068459657
composite_30d,0.31,0.03050033662875163,-0.2552708975585557,0.0,0.13386308068459657
composite_30d,0.32,0.028620739249244923,-0.2737307636991227,0.0,0.13386308068459657
composite_30d,0.33,0.025316571178338132,-0.29274167062000517,0.0,0.13386308068459657
composite_30d,0.34,0.02304215751648514,-0.3123286656293992,0.0,0.13386308068459657
composite_30d,0.35000000000000003,0.021487681023133337,-0.332518337408313,0.0,0.13386308068459657
composite_30d,0.36000000000000004,0.020056540342298285,-0.35333893643031794,0.0,0.13386308068459657
composite_30d,0.37,0.017745566034074588,-0.37482050684984675,0.0,0.13386308068459657
composite_30d,0.38,0.016405079264926258,-0.3969950311538765,0.0,0.13386308068459657
composite_30d,0.39,0.01590244097959838,-0.419896589041645,0.0,0.13386308068459657
composite_30d,0.4,0.014466177669111652,-0.4435615321923391,0.0,0.13386308068459657
composite_30d,0.41000000000000003,0.014089760059674276,-0.4680286768057685,0.0,0.13386308068459657
composite_30d,0.42000000000000004,0.013236657954641254,-0.4933395160610405,0.0,0.13386308068459657
composite_30d,0.43,0.010841590528889458,-0.5195384549393041,0.0,0.13386308068459657
composite_30d,0.44,0.011002444987775063,-0.5466730702060776,0.0,0.13386308068459657
composite_30d,0.45,0.010780173371860418,-0.5747943987552788,0.0,0.13386308068459657
composite_30d,0.46,0.01159105315584533,-0.6039572579914878,0.0,0.13386308068459657
composite_30d,0.47000000000000003,0.011129307561009362,-0.6342206024818933,0.0,0.13386308068459657
composite_30d,0.48000000000000004,0.009968027082941505,-0.6656479217603912,0.0,0.13386308068459657
composite_30d,0.49,0.008905029004266742,-0.6983076849321634,0.0,0.13386308068459657
composite_30d,0.5,0.006723716381418093,-0.7322738386308068,0.0,0.13386308068459657
cv_first,0.01,0.043008788487690026,0.04131739362817728,0.0,0.050904219691895514
cv_first,0.02,0.038123487841218204,0.03153491805295461,0.0,0.050904219691895514
cv_first,0.03,0.036244743510954906,0.021550741950407744,0.0,0.050904219691895514
cv_first,0.04,0.030029024335789238,0.01135856217905782,0.0,0.050904219691895514
cv_first,0.05,0.026262911129128916,0.000951810201995272,0.0,0.050904219691895514
cv_first,0.060000000000000005,0.022174402530960084,-0.009676362029898397,0.0,0.050904219691895514
