direction,outcome,arch,n,ev,auc,ap,ehr_ref,ctpa_ref,gap,c_ehr,c_ctpa,gain,lo,hi,sig
M2I,composite_30d,inter:tucker,3300,505,0.7079820754884075,0.2873586124971461,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.03300643212629204,-0.05189856199480814,-0.014044733917277175,1
M2I,composite_30d,inter:crossattn,3300,505,0.6944827219752385,0.2681689663630244,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.04640522723632385,-0.06663761293439628,-0.02642321706681427,1
M2I,composite_30d,late:mean,3300,505,0.7382263235268071,0.32128077488920775,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.0024244274644977704,-0.01849824633464045,0.014392893359540906,0
M2I,composite_30d,late:wsrc,3300,505,0.751952744469438,0.3376466294667491,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,0.01121524886513905,0.004085370461216209,0.018624832669774452,1
M2I,composite_30d,uni:ehr_only,3300,505,0.7408009351919091,0.31946653630303723,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,0.0,0.0,0.0,0
M2I,composite_30d,uni:ctpa_only,3300,505,0.648886448573301,0.24549519597506947,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.09174243969137788,-0.12217761063941429,-0.05935513366877992,1
M2I,cv_first,early:plain,3083,288,0.7539716259193004,0.23526869604130307,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.015592425712931141,-0.029141683214213784,-0.0017400116185907748,1
M2I,cv_first,early:blockstd,3083,288,0.7610626614987082,0.23942505574267212,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.008540560986537053,-0.019593403417921852,0.002609851108795603,0
M2I,cv_first,inter:plain,3083,288,0.5994620850725502,0.14662576510082947,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.16963359571221134,-0.20356684072031345,-0.1348024844305427,1
M2I,cv_first,inter:gated,3083,288,0.5891460445239516,0.1422874561562195,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.17986111475088773,-0.21463717243741046,-0.1439146096907583,1
M2I,cv_first,inter:moddrop,3083,288,0.5969874279467303,0.1482597066544818,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.1720434147101023,-0.20671396427996555,-0.13560634713973474,1
M2I,cv_first,inter:lowrank,3083,288,0.6009484943351222,0.14362966151625806,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.16824137710893336,-0.2002986626451387,-0.1336369091984524,1
M2I,cv_first,inter:bilinear,3083,288,0.655232558139535,0.1430580660140034,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.11384392862259826,-0.14330160580160586,-0.08412748657297847,1
M2I,cv_first,inter:tucker,3083,288,0.6472507950705625,0.15038354171447288,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.12212483792516016,-0.15113829298339748,-0.0937470828555171,1
M2I,cv_first,inter:crossattn,3083,288,0.5942357384217849,0.14539482306518503,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.1749144237805873,-0.2074769816924333,-0.14156273296987812,1
M2I,cv_first,late:mean,3083,288,0.6959904839992049,0.19353516745878846,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.07329035583109722,-0.09700078057349731,-0.04892664805227709,1
M2I,cv_first,late:wsrc,3083,288,0.7395572450805008,0.21818025677532973,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.029919279028307256,-0.04495171280204101,-0.01470654229925245,1
M2I,cv_first,uni:ehr_only,3083,288,0.7697121596104153,0.24341288273475997,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,0.0,0.0,0.0,0
M2I,cv_first,uni:ctpa_only,3083,288,0.5317599632279865,0.11903901599145233,0.7697121596104153,0.5317599632279865,0.23795219638242882,0.003,1.0,-0.23717322880680802,-0.2813566265191013,-0.19476114761855273,1
M2M,death_30d,early:plain,1649,152,0.8802605210420842,0.44247183626507985,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,0.00688185595454663,-0.008381423151178393,0.02204077473555586,0
M2M,death_30d,early:blockstd,1649,152,0.8818118693527406,0.44618946812880333,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,0.00842104060855517,-0.005341216125833287,0.02230271059403158,0
M2M,death_30d,inter:plain,1649,152,0.8611565235734627,0.4076015916748942,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.012180239030344668,-0.034754212327343874,0.010569621321373585,0
M2M,death_30d,inter:gated,1649,152,0.8605060999191365,0.40205144660928444,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.01263016038846484,-0.03481107720971224,0.010131420251085562,0
M2M,death_30d,inter:moddrop,1649,152,0.8639999296839292,0.42582708084314996,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.009283854015182431,-0.03228415348545954,0.013930184260527542,0
M2M,death_30d,inter:lowrank,1649,152,0.8498927679921245,0.40397501614317644,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.02354521860478956,-0.04558822369033986,-0.0011894062448234344,1
M2M,death_30d,inter:bilinear,1649,152,0.8506486657525577,0.44732787685140596,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.02274679470659032,-0.046382121968278914,0.0016436029965509655,0
M2M,death_30d,inter:tucker,1649,152,0.8478404176774602,0.39068828961713864,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.02526936716285364,-0.04845034452470451,-0.0026839054038313064,1
M2M,death_30d,inter:crossattn,1649,152,0.8608137327286152,0.418322413511561,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.012455685821601456,-0.03410788218414214,0.009499145650943603,0
M2M,death_30d,late:mean,1649,152,0.8698339661779699,0.40379236717596434,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.003622194137193354,-0.026056959978197725,0.01870280365489565,0
M2M,death_30d,late:wsrc,1649,152,0.8841015364061456,0.4254306049482612,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,0.010632770144147333,-0.001725261822615859,0.02319391167995413,0
M2M,death_30d,uni:ehr_only,1649,152,0.8735145730056604,0.42682586974296377,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,0.0,0.0,0.0,0
M2M,death_30d,uni:ctpa_only,1649,152,0.7645708082832332,0.2539077743087996,0.8735145730056604,0.7645708082832332,0.10894376472242717,,,-0.10873316627131904,-0.1530163938843717,-0.06492682627872542,1
M2M,composite_30d,early:plain,1649,219,0.8311300571574542,0.41053738954246977,0.8362806143628061,0.712826899128269,0.12345371523453708,,,-0.005279312129592914,-0.018228746547878698,0.0076958530679557035,0
M2M,composite_30d,early:blockstd,1649,219,0.833959191493438,0.41425126451221833,0.8362806143628061,0.712826899128269,0.12345371523453708,,,-0.0024307952048993986,-0.014031658187392004,0.009271924826137139,0
M2M,composite_30d,inter:plain,1649,219,0.8198869623527157,0.38016852637978715,0.8362806143628061,0.712826899128269,0.12345371523453708,,,-0.016531088588924204,-0.039501660023785086,0.005825033213969935,0
