outcome,test,mode,learner,reg,k,mean,sd,lo,hi,vs_late,sig
death_30d,ablation,ccaaug_shuf,gb,0.1,10.0,0.8886746540190422,0.006878283171000018,0.8781810781155983,0.8997097653346546,0.006519661628853424,
death_30d,ablation,ccaaug_shuf,catboost,0.1,10.0,0.8939006477188262,0.00513194958315771,0.8848131171910948,0.9019573142675115,0.011745655328637361,
death_30d,ablation,ccaaug_shuf,l2,0.1,10.0,0.8793871447279935,0.005658875484476397,0.8702748380702934,0.8889454217251266,-0.0027678476621952885,
death_30d,boot,ccaaug,rf,0.1,10.0,0.010979682528083881,,-0.0011118808630740356,0.02320865527564538,0.010979682528083881,0.0
death_30d,boot,ccaaug,gb,0.1,10.0,0.02619336418774156,,0.011357865756445259,0.04145476628303917,0.02619336418774156,1.0
death_30d,grid,ccaaug,rf,0.01,2.0,0.8932653169574912,0.0012943678518129906,0.8922725020351822,0.8952898807206314,0.011110324567302432,
death_30d,grid,ccaaug,rf,0.1,2.0,0.8939094963366723,0.0023314890677547844,0.8919893462641135,0.8975462782713339,0.011754503946483474,
death_30d,grid,ccaaug,rf,0.5,2.0,0.8942041553109406,0.0027613724357413885,0.8908434502530705,0.8973737302233391,0.012049162920751755,
death_30d,grid,ccaaug,rf,0.01,5.0,0.8970233249566417,0.0028066886156876748,0.8923875340671787,0.8999398293986479,0.014868332566452924,
death_30d,grid,ccaaug,rf,0.1,5.0,0.8978993381233853,0.0020804942838403627,0.8951925459243266,0.9002097122429475,0.015744345733196496,
death_30d,grid,ccaaug,rf,0.5,5.0,0.8976232612465933,0.002839328646363076,0.8938917991009805,0.900346865819559,0.01546826885640451,
death_30d,grid,ccaaug,rf,0.01,10.0,0.8981718755530386,0.002077239189227366,0.8954004884437051,0.9002981984214066,0.01601688316284977,
death_30d,grid,ccaaug,rf,0.1,10.0,0.898662088981701,0.002741414413432704,0.8946749017803419,0.9012317276041482,0.01650709659151217,
