outcome,test,mtry,k,leaf,depth,prod,mean,sd,vs_late,lo,hi,brier,slope,intercept
death_30d,leaf_depth,0.6,10.0,50.0,12.0,0,0.8836981913425124,0.002641770010605648,0.004386702297101253,,,,,
death_30d,leaf_depth,0.6,10.0,50.0,-1.0,0,0.8836981913425124,0.002641770010605648,0.004386702297101253,,,,,
death_30d,leaf_depth,0.6,10.0,100.0,4.0,0,0.8661204119916469,0.0026149031919528477,-0.01319107705376421,,,,,
death_30d,leaf_depth,0.6,10.0,100.0,6.0,0,0.8661690793897993,0.0026318335485264847,-0.013142409655611864,,,,,
death_30d,leaf_depth,0.6,10.0,100.0,8.0,0,0.8661690793897993,0.0026318335485264847,-0.013142409655611864,,,,,
death_30d,leaf_depth,0.6,10.0,100.0,12.0,0,0.8661690793897993,0.0026318335485264847,-0.013142409655611864,,,,,
death_30d,leaf_depth,0.6,10.0,100.0,-1.0,0,0.8661690793897993,0.0026318335485264847,-0.013142409655611864,,,,,
death_30d,prod,0.6,10.0,5.0,-1.0,0,0.9036801401621066,0.0018202781237998625,0.024368651116695506,,,,,
death_30d,prod,0.6,10.0,5.0,-1.0,3,0.9008600856546207,0.0034937994688520055,0.021548596609209603,,,,,
death_30d,prod,0.6,10.0,5.0,-1.0,5,0.9011397019785511,0.0035466395637937208,0.021828212933139968,,,,,
death_30d,final,0.6,10.0,5.0,-1.0,0,0.9023585990868226,0.004534424813648903,0.023047110041411467,0.8951084840547907,0.9097573708986657,0.0639684050869464,1.3297437830281968,-0.3396089473212443
death_30d,calib_platt,0.6,10.0,5.0,-1.0,0,0.9048065692138888,,,,,0.05994032877530272,0.9777648523884416,-0.032833628906719065
death_30d,calib_isotonic,0.6,10.0,5.0,-1.0,0,0.8939249814179027,,,,,0.060549313202390466,0.700406741256635,-0.4105121574954214
composite_30d,ref,,,,,0,0.8425702617531673,0.0015174132806269535,0.0,,,,,
composite_30d,untuned,,10.0,10.0,6.0,0,0.8567245482024568,0.0031793057777721265,0.01415428644928951,,,,,
composite_30d,mtry_k,0.1,5.0,10.0,6.0,0,0.8575670461122902,0.001379898531900209,0.014996784359122883,,,,,
composite_30d,mtry_k,0.1,10.0,10.0,6.0,0,0.8567245482024568,0.0031793057777721265,0.01415428644928951,,,,,
composite_30d,mtry_k,0.1,20.0,10.0,6.0,0,0.8548517589555598,0.0017269165149803047,0.012281497202392466,,,,,
composite_30d,mtry_k,0.1,30.0,10.0,6.0,0,0.8537751623898645,0.0023437114210354557,0.011204900636697213,,,,,
composite_30d,mtry_k,0.25,5.0,10.0,6.0,0,0.8575612579587112,0.002352678768405147,0.014990996205543894,,,,,
composite_30d,mtry_k,0.25,10.0,10.0,6.0,0,0.8577490513859413,0.0025505520052547617,0.01517878963277397,,,,,
composite_30d,mtry_k,0.25,20.0,10.0,6.0,0,0.8563830471412952,0.0031819558600127158,0.013812785388127913,,,,,
composite_30d,mtry_k,0.25,30.0,10.0,6.0,0,0.8545533474821532,0.0034825294201314303,0.011983085728985876,,,,,
composite_30d,mtry_k,0.4,5.0,10.0,6.0,0,0.8562467039681009,0.0020592616198691766,0.013676442214933582,,,,,
composite_30d,mtry_k,0.4,10.0,10.0,6.0,0,0.8551437391472121,0.003654529241903301,0.012573477394044796,,,,,
composite_30d,mtry_k,0.4,20.0,10.0,6.0,0,0.8539198662293395,0.003549126595789028,0.01134960447617217,,,,,
composite_30d,mtry_k,0.4,30.0,10.0,6.0,0,0.8521049585182328,0.0033865260492145707,0.009534696765065465,,,,,
composite_30d,mtry_k,0.6,5.0,10.0,6.0,0,0.8534960447617209,0.002729954491103143,0.010925783008553624,,,,,
composite_30d,mtry_k,0.6,10.0,10.0,6.0,0,0.8542073445237637,0.003722671766769992,0.011637082770596385,,,,,
composite_30d,mtry_k,0.6,20.0,10.0,6.0,0,0.8514142388578044,0.0030593484615167297,0.008843977104637135,,,,,
composite_30d,mtry_k,0.6,30.0,10.0,6.0,0,0.8504424721847063,0.004128428063502094,0.007872210431538962,,,,,
composite_30d,mtry_k,1.0,5.0,10.0,6.0,0,0.8501196218406328,0.003496573947776096,0.00754936008746554,,,,,
composite_30d,mtry_k,1.0,10.0,10.0,6.0,0,0.8498604411859283,0.005429401605146045,0.0072901794327610014,,,,,
composite_30d,mtry_k,1.0,20.0,10.0,6.0,0,0.8474181619396746,0.004101043233024709,0.00484790018650727,,,,,
composite_30d,mtry_k,1.0,30.0,10.0,6.0,0,0.8462878641713294,0.004760691755699419,0.0037176024181621026,,,,,
composite_30d,leaf_depth,0.25,10.0,5.0,4.0,0,0.8523757154800953,0.00256983468878634,0.009805453726927982,,,,,
composite_30d,leaf_depth,0.25,10.0,5.0,6.0,0,0.8552877998585119,0.0025569527899859694,0.012717538105344595,,,,,
composite_30d,leaf_depth,0.25,10.0,5.0,8.0,0,0.8562492764808025,0.0021608970316907986,0.01367901472763522,,,,,
composite_30d,leaf_depth,0.25,10.0,5.0,12.0,0,0.8566936780500353,0.002769629826159169,0.014123416296867974,,,,,
composite_30d,leaf_depth,0.25,10.0,5.0,-1.0,0,0.85693870988488,0.0027464805486401653,0.014368448131712674,,,,,
composite_30d,leaf_depth,0.25,10.0,10.0,4.0,0,0.8538606984371986,0.0026991552045592115,0.01129043668403129,,,,,
composite_30d,leaf_depth,0.25,10.0,10.0,6.0,0,0.8577490513859413,0.0025505520052547617,0.01517878963277397,,,,,
composite_30d,leaf_depth,0.25,10.0,10.0,8.0,0,0.8590732522991834,0.0026135027015467284,0.016502990546016116,,,,,
composite_30d,leaf_depth,0.25,10.0,10.0,12.0,0,0.8593420798765194,0.002571168212555153,0.016771818123352156,,,,,
