outcome,stage,method,mean,sd,vs_late,na,nb,leaf,depth,k,reg,ntree,lo,hi,slope,slope_platt,brier,brier_platt,vs_per_outcome
cv_first,A,block,0.7928010502117744,0.005976010118640771,-0.02927799908677231,28.0,8.0,,,,,,,,,,,,
cv_first,A,block,0.7921308907118453,0.006089565549265873,-0.029948158586701412,28.0,16.0,,,,,,,,,,,,
cv_first,A,block,0.7921444710365134,0.009646433479705509,-0.029934578262033273,28.0,24.0,,,,,,,,,,,,
cv_first,A,block,0.7916091307017682,0.006055859891018141,-0.0304699185967785,28.0,32.0,,,,,,,,,,,,
cv_first,A,block,0.7857434145266173,0.010499047909301201,-0.03633563477192936,38.0,8.0,,,,,,,,,,,,
cv_first,A,block,0.784071263245737,0.006299778645059477,-0.038007786052809744,38.0,16.0,,,,,,,,,,,,
cv_first,A,block,0.7826063595282707,0.007934915190575991,-0.03947268977027596,38.0,24.0,,,,,,,,,,,,
cv_first,A,block,0.7824660295066996,0.008986554281652433,-0.03961301979184706,38.0,32.0,,,,,,,,,,,,
cv_first,B,block,0.797816126340319,0.005402262785644971,-0.02426292295822774,14.0,32.0,1.0,6.0,,,,,,,,,,
cv_first,B,block,0.7934956149328464,0.007172071440683258,-0.028583434365700322,14.0,32.0,1.0,12.0,,,,,,,,,,
cv_first,B,block,0.7756674040717355,0.005191957866871884,-0.04641164522681118,14.0,32.0,1.0,-1.0,,,,,,,,,,
cv_first,B,block,0.7981314260521799,0.0051049094663819655,-0.02394762324636679,14.0,32.0,2.0,6.0,,,,,,,,,,
cv_first,B,block,0.7932157421549023,0.005162985589326627,-0.02886330714364438,14.0,32.0,2.0,12.0,,,,,,,,,,
cv_first,B,block,0.7798706129646833,0.005006432260645745,-0.0422084363338634,14.0,32.0,2.0,-1.0,,,,,,,,,,
cv_first,B,block,0.798839177465321,0.005116141486697779,-0.023239871833225734,14.0,32.0,5.0,6.0,,,,,,,,,,
cv_first,B,block,0.79584048432555,0.005783796160515542,-0.026238564972996703,14.0,32.0,5.0,12.0,,,,,,,,,,
cv_first,B,block,0.7890822062319912,0.005744949685797446,-0.03299684306655548,14.0,32.0,5.0,-1.0,,,,,,,,,,
cv_first,B,block,0.79947528774543,0.0050171465514323044,-0.02260376155311672,14.0,32.0,10.0,6.0,,,,,,,,,,
cv_first,B,block,0.7969318307064918,0.0033896369706355053,-0.025147218592054932,14.0,32.0,10.0,12.0,,,,,,,,,,
cv_first,B,block,0.7955190833084033,0.0033934824140682543,-0.02655996599014343,14.0,32.0,10.0,-1.0,,,,,,,,,,
cv_first,B,block,0.7996831257577427,0.004362074994963347,-0.022395923540803997,14.0,32.0,25.0,6.0,,,,,,,,,,
cv_first,B,block,0.7988116231833855,0.004175399834855839,-0.023267426115161194,14.0,32.0,25.0,12.0,,,,,,,,,,
cv_first,B,block,0.7988411456283162,0.004274984270348794,-0.023237903670230486,14.0,32.0,25.0,-1.0,,,,,,,,,,
cv_first,C,cca_k,0.7969839870258697,0.004519604026751638,-0.025095062272676993,14.0,32.0,25.0,6.0,5.0,,,,,,,,,
cv_first,C,cca_k,0.7996831257577427,0.004362074994963347,-0.022395923540803997,14.0,32.0,25.0,6.0,10.0,,,,,,,,,
cv_first,C,cca_k,0.7976260017949647,0.0033019136830249166,-0.024453047503582015,14.0,32.0,25.0,6.0,20.0,,,,,,,,,
cv_first,C,cca_k,0.7963958999228481,0.0034784410424934967,-0.0256831493756986,14.0,32.0,25.0,6.0,30.0,,,,,,,,,
cv_first,C,cca_reg,0.7999626049030877,0.004834890965553467,-0.022116444395459012,14.0,32.0,25.0,6.0,10.0,0.01,,,,,,,,
cv_first,C,cca_reg,0.7996831257577427,0.004362074994963347,-0.022395923540803997,14.0,32.0,25.0,6.0,10.0,0.1,,,,,,,,
cv_first,C,cca_reg,0.7973925776637117,0.005184857223992473,-0.02468647163483495,14.0,32.0,25.0,6.0,10.0,0.5,,,,,,,,
cv_first,D,ntree,0.7983152524759491,0.0035819878733793415,-0.02376379682259755,14.0,32.0,25.0,6.0,10.0,0.01,150.0,,,,,,,
cv_first,D,ntree,0.7999626049030877,0.004834890965553467,-0.022116444395459012,14.0,32.0,25.0,6.0,10.0,0.01,300.0,,,,,,,
cv_first,D,ntree,0.7994607233392641,0.00415826838508885,-0.022618325959282592,14.0,32.0,25.0,6.0,10.0,0.01,600.0,,,,,,,
cv_first,E,final,0.8004142983105289,0.004428216131282544,-0.02166475098801779,14.0,32.0,25.0,6.0,10.0,0.01,300.0,0.7933704397663397,0.8086670025664846,1.1328380971705767,0.9728208904871268,0.08584749559089458,0.04822946618066034,
death_30d,F,compromise,0.8937559239398583,0.001741821610694665,0.02378721532628747,20.0,8.0,25.0,12.0,10.0,0.1,600.0,,,,,,,-0.0004971240489235473
death_30d_inhosp,F,compromise,0.9122761126847712,0.0024742947609219784,0.0403271043442317,20.0,8.0,25.0,12.0,10.0,0.1,600.0,,,,,,,-0.00324302186697234
composite_30d,F,compromise,0.8527077590699068,0.0016142819858203726,0.01065150095492251,20.0,8.0,25.0,12.0,10.0,0.1,600.0,,,,,,,-0.0030061181875904452
cv_first,F,compromise,0.8003645037867455,0.004408051483567086,-0.021714545511801187,20.0,8.0,25.0,12.0,10.0,0.1,600.0,,,,,,,-4.979452378339744e-05
