outcome,sparse_k,measure,temp,amp,mean,sd,vs_pool,spread
death_30d_inhosp,3.0,err,20.0,0.0,0.8806166068006733,0.008835804625425428,-0.02318339319932672,0.1061735944626377
death_30d_inhosp,3.0,err,20.0,0.1,0.8806166068006733,0.008835804625425428,-0.02318339319932672,0.1061735944626377
death_30d_inhosp,3.0,err,20.0,0.25,0.8806166068006733,0.008835804625425428,-0.02318339319932672,0.1061735944626377
death_30d_inhosp,3.0,err,-1.0,0.0,0.5716506722317473,0.01595107105744075,-0.3321493277682528,0.1061735944626377
death_30d_inhosp,3.0,err,-1.0,0.1,0.5716506722317473,0.01595107105744075,-0.3321493277682528,0.1061735944626377
death_30d_inhosp,3.0,err,-1.0,0.25,0.5716506722317473,0.01595107105744075,-0.3321493277682528,0.1061735944626377
death_30d_inhosp,3.0,tertile,1.0,0.0,0.9066509437621704,0.003650066776195731,0.0028509437621703215,0.07927594271897545
death_30d_inhosp,3.0,tertile,1.0,0.1,0.9066509437621704,0.003650066776195731,0.0028509437621703215,0.07927594271897545
death_30d_inhosp,3.0,tertile,1.0,0.25,0.9066509437621704,0.003650066776195731,0.0028509437621703215,0.07927594271897545
death_30d_inhosp,3.0,tertile,2.0,0.0,0.9069953994988325,0.0039391240480064985,0.0031953994988324075,0.07927594271897545
death_30d_inhosp,3.0,tertile,2.0,0.1,0.9069953994988325,0.0039391240480064985,0.0031953994988324075,0.07927594271897545
death_30d_inhosp,3.0,tertile,2.0,0.25,0.9069953994988325,0.0039391240480064985,0.0031953994988324075,0.07927594271897545
death_30d_inhosp,3.0,tertile,5.0,0.0,0.9015834102669531,0.006037354590531493,-0.0022165897330469475,0.07927594271897545
death_30d_inhosp,3.0,tertile,5.0,0.1,0.9015834102669531,0.006037354590531493,-0.0022165897330469475,0.07927594271897545
death_30d_inhosp,3.0,tertile,5.0,0.25,0.9015834102669531,0.006037354590531493,-0.0022165897330469475,0.07927594271897545
death_30d_inhosp,3.0,tertile,10.0,0.0,0.8884708182375348,0.0097697817021636,-0.015329181762465227,0.07927594271897545
death_30d_inhosp,3.0,tertile,10.0,0.1,0.8884708182375348,0.0097697817021636,-0.015329181762465227,0.07927594271897545
death_30d_inhosp,3.0,tertile,10.0,0.25,0.8884708182375348,0.0097697817021636,-0.015329181762465227,0.07927594271897545
death_30d_inhosp,3.0,tertile,20.0,0.0,0.8836189574783356,0.010053298023176309,-0.020181042521664416,0.07927594271897545
death_30d_inhosp,3.0,tertile,20.0,0.1,0.8836189574783356,0.010053298023176309,-0.020181042521664416,0.07927594271897545
death_30d_inhosp,3.0,tertile,20.0,0.25,0.8836189574783356,0.010053298023176309,-0.020181042521664416,0.07927594271897545
death_30d_inhosp,3.0,tertile,-1.0,0.0,0.6143251693186138,0.006311328435821438,-0.28947483068138624,0.07927594271897545
death_30d_inhosp,3.0,tertile,-1.0,0.1,0.6143251693186138,0.006311328435821438,-0.28947483068138624,0.07927594271897545
death_30d_inhosp,3.0,tertile,-1.0,0.25,0.6143251693186138,0.006311328435821438,-0.28947483068138624,0.07927594271897545
death_30d_inhosp,3.0,local,1.0,0.0,0.9065206091591091,0.0036584419357160187,0.0027206091591090997,0.09270141234180848
