direction,outcome,arch,decile,pred,obs,n
M2I,death_30d,uni:ehr_only,6,0.6501515151515151,0.06666666666666667,330
M2I,death_30d,uni:ehr_only,7,0.7501515151515152,0.0696969696969697,330
M2I,death_30d,uni:ehr_only,8,0.8501515151515152,0.18181818181818182,330
M2I,death_30d,uni:ehr_only,9,0.9501515151515152,0.24848484848484848,330
M2I,death_30d,early:plain,0,0.0015169440928900922,0.0,330
M2I,death_30d,early:plain,1,0.003941725209622977,0.012121212121212121,330
M2I,death_30d,early:plain,2,0.0074484560926209985,0.02727272727272727,330
M2I,death_30d,early:plain,3,0.013147135621750405,0.01818181818181818,330
M2I,death_30d,early:plain,4,0.0227439777069919,0.03939393939393939,330
M2I,death_30d,early:plain,5,0.03831545655997989,0.06666666666666667,330
M2I,death_30d,early:plain,6,0.06292556382884261,0.06666666666666667,330
M2I,death_30d,early:plain,7,0.11090830401945675,0.10606060606060606,330
M2I,death_30d,early:plain,8,0.21664193750203417,0.15757575757575756,330
M2I,death_30d,early:plain,9,0.5565706799536585,0.2515151515151515,330
M2I,death_30d,early:blockstd,0,0.01942169131517932,0.0030303030303030303,330
M2I,death_30d,early:blockstd,1,0.03139791905664703,0.00909090909090909,330
M2I,death_30d,early:blockstd,2,0.040670349269894025,0.030303030303030304,330
M2I,death_30d,early:blockstd,3,0.05160539038851811,0.01818181818181818,330
M2I,death_30d,early:blockstd,4,0.0647418812096684,0.030303030303030304,330
M2I,death_30d,early:blockstd,5,0.07966966668502468,0.06363636363636363,330
M2I,death_30d,early:blockstd,6,0.1002799277036313,0.08787878787878788,330
M2I,death_30d,early:blockstd,7,0.12945177958514015,0.08181818181818182,330
M2I,death_30d,early:blockstd,8,0.18075744101555913,0.1696969696969697,330
M2I,death_30d,early:blockstd,9,0.34951552505962485,0.2515151515151515,330
M2I,death_30d,inter:plain,0,5.0470066494112675e-12,0.012121212121212121,330
M2I,death_30d,inter:plain,1,1.4755707766767046e-09,0.024242424242424242,330
M2I,death_30d,inter:plain,2,5.20024165950872e-08,0.03636363636363636,330
M2I,death_30d,inter:plain,3,8.841209364618408e-07,0.015151515151515152,330
M2I,death_30d,inter:plain,4,1.1670616913761478e-05,0.03939393939393939,330
M2I,death_30d,inter:plain,5,0.0001407726522302255,0.07272727272727272,330
M2I,death_30d,inter:plain,6,0.001611051382496953,0.0696969696969697,330
M2I,death_30d,inter:plain,7,0.01952705718576908,0.11818181818181818,330
M2I,death_30d,inter:plain,8,0.27535122632980347,0.15454545454545454,330
M2I,death_30d,inter:plain,9,0.9331960678100586,0.20303030303030303,330
M2I,death_30d,late:mean,0,0.1243829534010803,0.0030211480362537764,331
M2I,death_30d,late:mean,1,0.22928133922814775,0.0060790273556231,329
M2I,death_30d,late:mean,2,0.3141391184573003,0.021212121212121213,330
M2I,death_30d,late:mean,3,0.385966712580349,0.024242424242424242,330
M2I,death_30d,late:mean,4,0.45539279155188245,0.01818181818181818,330
M2I,death_30d,late:mean,5,0.5281299357208448,0.06363636363636363,330
M2I,death_30d,late:mean,6,0.6122967591321066,0.08157099697885196,331
M2I,death_30d,late:mean,7,0.6893704522427927,0.14285714285714285,329
M2I,death_30d,late:mean,8,0.7754017447199265,0.11515151515151516,330
M2I,death_30d,late:mean,9,0.8877047750229569,0.2696969696969697,330
M2I,death_30d,late:wsrc,0,0.11193471074380164,0.0,330
M2I,death_30d,late:wsrc,1,0.21355114784205692,0.00909090909090909,330
