outcome,direction,unit_drop,md_rate,batch_frac,miss,auc,sd,ehr,gain_vs_ehr
death_30d,I2I,0.8,0.0,0.4,0.0,0.7599913392716114,0.004711399653035787,0.7795911177841313,-0.019599778512519817
death_30d,I2I,0.8,0.1,0.4,0.0,0.7634840264578154,0.005507954839485101,0.7795911177841313,-0.016107091326315826
death_30d,I2I,0.8,0.2,0.4,0.0,0.7627435164331997,0.005754215095350055,0.7795911177841313,-0.01684760135093155
death_30d,I2I,0.8,0.3,0.4,0.0,0.7624901723804403,0.007192681228303808,0.7795911177841313,-0.017100945403691004
death_30d,I2I,0.8,0.5,0.4,0.0,0.762662322104557,0.0027621187969078726,0.7795911177841313,-0.016928795679574282
death_30d,I2I,0.8,0.7,0.4,0.0,0.7663870564704337,0.00191315901517377,0.7795911177841313,-0.013204061313697557
death_30d,I2I,0.8,0.0,1.0,0.0,0.7591447885664188,0.005028056530789621,0.7795911177841313,-0.0204463292177125
death_30d,I2I,0.8,0.1,1.0,0.0,0.7674159616514306,0.007876482349441062,0.7795911177841313,-0.012175156132700704
death_30d,I2I,0.8,0.2,1.0,0.0,0.7713243815476792,0.005761444801706885,0.7795911177841313,-0.008266736236452021
death_30d,I2I,0.8,0.3,1.0,0.0,0.7722729797697453,0.0028828442892714114,0.7795911177841313,-0.0073181380143859664
death_30d,I2I,0.8,0.5,1.0,0.0,0.7776739555214806,0.004232194906610686,0.7795911177841313,-0.0019171622626507068
death_30d,I2I,0.8,0.7,1.0,0.0,0.7786580485320242,0.0033260026372816057,0.7795911177841313,-0.0009330692521070105
death_30d,I2I,0.2,0.0,0.4,0.0,0.6967970833932308,0.020669705409183493,0.7795911177841313,-0.0827940343909005
death_30d,I2I,0.2,0.1,0.4,0.0,0.6982494857692519,0.005349770453089739,0.7795911177841313,-0.08134163201487932
death_30d,I2I,0.2,0.2,0.4,0.0,0.6959962322282031,0.007887881488774477,0.7795911177841313,-0.0835948855559282
death_30d,I2I,0.2,0.3,0.4,0.0,0.7053164981551584,0.0062086419662538556,0.7795911177841313,-0.07427461962897286
death_30d,I2I,0.2,0.5,0.4,0.0,0.7008898543471355,0.006596265435914514,0.7795911177841313,-0.0787012634369958
death_30d,I2I,0.2,0.7,0.4,0.0,0.6957932464065962,0.002073770344127991,0.7795911177841313,-0.08379787137753503
death_30d,I2I,0.2,0.0,1.0,0.0,0.6929989191836908,0.021432680052194616,0.7795911177841313,-0.08659219860044043
death_30d,I2I,0.2,0.1,1.0,0.0,0.7058972816316244,0.015292916749669658,0.7795911177841313,-0.07369383615250691
death_30d,I2I,0.2,0.2,1.0,0.0,0.7045447083481968,0.014864994631776368,0.7795911177841313,-0.07504640943593444
death_30d,I2I,0.2,0.3,1.0,0.0,0.7088526664572475,0.015787987743466358,0.7795911177841313,-0.07073845132688372
death_30d,I2I,0.2,0.5,1.0,0.0,0.7138765100814073,0.008988983822010325,0.7795911177841313,-0.06571460770272397
death_30d,I2I,0.2,0.7,1.0,0.0,0.7145469178987796,0.018274406073990744,0.7795911177841313,-0.0650441998853517
death_30d,I2I,0.8,0.0,1.0,0.0,0.7599163565309524,0.0047219586188207594,0.7795911177841313,-0.019674761253178907
death_30d,I2I,0.8,0.0,1.0,0.25,0.7491053094879344,0.01215243884206828,0.7795911177841313,-0.030485808296196848
death_30d,I2I,0.8,0.0,1.0,0.5,0.7396770062985502,0.0015037943536883732,0.7795911177841313,-0.039914111485581105
