test,featset,outcome,method,k,nfeat,events,ev_per_feat,has_ecg,mean,sd,vs_ref
outcomes,ecg+ctpa,composite_30d,pca8,8.0,310,219,0.7064516129032258,1,0.7171724300164667,0.005609754903622982,-0.07234204361262297
outcomes,ecg+ctpa,composite_30d,pca10,10.0,310,219,0.7064516129032258,1,0.7185445487443729,0.005928247716824652,-0.07096992488471676
outcomes,ecg+ctpa,composite_30d,late,,310,219,0.7064516129032258,1,0.7895144736290897,0.007586498263439473,
outcomes,all3,composite_30d,pca8,8.0,338,219,0.6479289940828402,1,0.7412412228548964,0.006095149719446697,-0.10834018103717724
outcomes,all3,composite_30d,pca10,10.0,338,219,0.6479289940828402,1,0.7650054942753195,0.009135096330462666,-0.0845759096167541
outcomes,all3,composite_30d,late,,338,219,0.6479289940828402,1,0.8495814038920736,0.0030821864828087775,
outcomes,ehr+ctpa,cv_first,pca8,8.0,74,76,1.027027027027027,0,0.7461882033948669,0.011890711895974612,-0.0581686661961891
outcomes,ehr+ctpa,cv_first,pca10,10.0,74,76,1.027027027027027,0,0.7598772425064071,0.014594278082617755,-0.04447962708464892
outcomes,ehr+ctpa,cv_first,late,,74,76,1.027027027027027,0,0.804356869591056,0.012164219499435037,
outcomes,ehr+ecg,cv_first,pca8,8.0,292,76,0.2602739726027397,1,0.7069884485384244,0.01057134817839142,-0.0983494595698845
outcomes,ehr+ecg,cv_first,pca10,10.0,292,76,0.2602739726027397,1,0.7068361623890353,0.006659920211106754,-0.0985017457192735
outcomes,ehr+ecg,cv_first,late,,292,76,0.2602739726027397,1,0.8053379081083089,0.012012408612394337,
outcomes,ecg+ctpa,cv_first,pca8,8.0,310,76,0.24516129032258063,1,0.6981855662444751,0.010465242747643797,-0.019844556698733307
outcomes,ecg+ctpa,cv_first,pca10,10.0,310,76,0.24516129032258063,1,0.6924999071425918,0.007293567076203867,-0.02553021580061665
outcomes,ecg+ctpa,cv_first,late,,310,76,0.24516129032258063,1,0.7180301229432084,0.013493993733021499,
outcomes,all3,cv_first,pca8,8.0,338,76,0.22485207100591717,1,0.7118820339486684,0.010822416614103299,-0.09606841733833515
outcomes,all3,cv_first,pca10,10.0,338,76,0.22485207100591717,1,0.7147457564164469,0.009167644070941262,-0.09320469487055671
outcomes,all3,cv_first,late,,338,76,0.22485207100591717,1,0.8079504512870036,0.011104498142537614,
