direction,outcome,arch,seed,auc,ap
M2I,composite_30d,inter:gated,13,0.6850982128624312,0.26944865881804114
M2I,composite_30d,inter:moddrop,42,0.6941865778706673,0.2798502707646531
M2I,composite_30d,inter:moddrop,7,0.7005253369701907,0.2846929619715779
M2I,composite_30d,inter:moddrop,13,0.7015164986981702,0.2751269172980872
M2I,composite_30d,inter:lowrank,42,0.6658424697568147,0.23975212327893297
M2I,composite_30d,inter:lowrank,7,0.6874549673214191,0.26462673745552695
M2I,composite_30d,inter:lowrank,13,0.6846901291202465,0.2615444134114329
M2I,composite_30d,inter:bilinear,42,0.699467224003259,0.2615585112025244
M2I,composite_30d,inter:bilinear,7,0.7042455587240298,0.2729322418405008
M2I,composite_30d,inter:bilinear,13,0.6982681237712322,0.2572683092176347
M2I,composite_30d,inter:tucker,42,0.6870351936803699,0.2702227096508408
M2I,composite_30d,inter:tucker,7,0.691826989496803,0.2755950392107049
M2I,composite_30d,inter:tucker,13,0.69194353424609,0.2589427088786831
M2I,composite_30d,inter:crossattn,42,0.6857776439540197,0.2519470961878152
M2I,composite_30d,inter:crossattn,7,0.6791841867549904,0.2628726071639964
M2I,composite_30d,inter:crossattn,13,0.6848502453107563,0.26333261642908784
M2I,cv_first,inter:plain,42,0.577256012721129,0.14056757020379418
M2I,cv_first,inter:plain,7,0.593282896044524,0.1460123248317651
M2I,cv_first,inter:plain,13,0.5876726793877957,0.15069915798489197
M2I,cv_first,inter:gated,42,0.5564437984496124,0.13438538497923258
M2I,cv_first,inter:gated,7,0.5653485887497516,0.13687958911265338
M2I,cv_first,inter:gated,13,0.603277181474856,0.14281052244587736
M2I,cv_first,inter:moddrop,42,0.5840178393957464,0.1482844474733816
M2I,cv_first,inter:moddrop,7,0.585178145497913,0.1434022766590753
M2I,cv_first,inter:moddrop,13,0.577689574637249,0.15275761558290235
M2I,cv_first,inter:lowrank,42,0.5919436990657921,0.14137709043267194
M2I,cv_first,inter:lowrank,7,0.5668244384814152,0.1354077548029966
M2I,cv_first,inter:lowrank,13,0.5908293579805207,0.13955014234258503
M2I,cv_first,inter:bilinear,42,0.6471489266547407,0.15435146140485403
M2I,cv_first,inter:bilinear,7,0.6645845756310872,0.15311386173607622
M2I,cv_first,inter:bilinear,13,0.6349346551381435,0.13475982579442536
M2I,cv_first,inter:tucker,42,0.626969663088849,0.147005470983188
M2I,cv_first,inter:tucker,7,0.614104427549195,0.15045277253347336
M2I,cv_first,inter:tucker,13,0.6256335718545021,0.14870723047369616
M2I,cv_first,inter:crossattn,42,0.5719551282051283,0.1419131735139627
M2I,cv_first,inter:crossattn,7,0.5892920145100378,0.13397840644850578
M2I,cv_first,inter:crossattn,13,0.5908119658119658,0.1439882481505661
M2M,death_30d,inter:plain,42,0.85809337974194,0.4220744450585808
M2M,death_30d,inter:plain,7,0.8491544492493759,0.37584427790269337
M2M,death_30d,inter:plain,13,0.8522022114404247,0.3920223213516169
M2M,death_30d,inter:gated,42,0.8340364940407129,0.38690911003402656
M2M,death_30d,inter:gated,7,0.8468515979327074,0.3932502253488669
