direction,outcome,arch,thresh,nb
I2M,death_30d,treat_all,0.23,-0.1789908090696447
I2M,death_30d,treat_none,0.23,0.0
I2M,death_30d,treat_all,0.24000000000000002,-0.19450384603108745
I2M,death_30d,treat_none,0.24000000000000002,0.0
I2M,death_30d,treat_all,0.25,-0.21043056397816856
I2M,death_30d,treat_none,0.25,0.0
I2M,death_30d,treat_all,0.26,-0.22678773376165734
I2M,death_30d,treat_none,0.26,0.0
I2M,death_30d,treat_all,0.27,-0.24359304518304992
I2M,death_30d,treat_none,0.27,0.0
I2M,death_30d,treat_all,0.28,-0.26086517081059235
I2M,death_30d,treat_none,0.28,0.0
I2M,death_30d,treat_all,0.29000000000000004,-0.2786238351882063
I2M,death_30d,treat_none,0.29000000000000004,0.0
I2M,death_30d,treat_all,0.3,-0.2968898899766092
I2M,death_30d,treat_none,0.3,0.0
I2M,death_30d,treat_all,0.31,-0.31568539562844417
I2M,death_30d,treat_none,0.31,0.0
I2M,death_30d,treat_all,0.32,-0.3350337102700389
I2M,death_30d,treat_none,0.32,0.0
I2M,death_30d,treat_all,0.33,-0.3549595865427261
I2M,death_30d,treat_none,0.33,0.0
I2M,death_30d,treat_all,0.34,-0.3754892772479189
I2M,death_30d,treat_none,0.34,0.0
I2M,death_30d,treat_all,0.35000000000000003,-0.39665065074404077
I2M,death_30d,treat_none,0.35000000000000003,0.0
I2M,death_30d,treat_all,0.36000000000000004,-0.4184733171619164
I2M,death_30d,treat_none,0.36000000000000004,0.0
I2M,death_30d,treat_all,0.37,-0.4409887666406769
I2M,death_30d,treat_none,0.37,0.0
I2M,death_30d,treat_all,0.38,-0.464230520941333
I2M,death_30d,treat_none,0.38,0.0
I2M,death_30d,treat_all,0.39,-0.48823429997315815
I2M,death_30d,treat_none,0.39,0.0
I2M,death_30d,treat_all,0.4,-0.5130382049727108
I2M,death_30d,treat_none,0.4,0.0
I2M,death_30d,treat_all,0.41000000000000003,-0.5386829203112313
I2M,death_30d,treat_none,0.41000000000000003,0.0
I2M,death_30d,treat_all,0.42000000000000004,-0.5652119361786664
I2M,death_30d,treat_none,0.42000000000000004,0.0
I2M,death_30d,treat_all,0.43,-0.5926717947081165
I2M,death_30d,treat_none,0.43,0.0
I2M,death_30d,treat_all,0.44,-0.6211123624707615
I2M,death_30d,treat_none,0.44,0.0
I2M,death_30d,treat_all,0.45,-0.6505871326975026
I2M,death_30d,treat_none,0.45,0.0
I2M,death_30d,treat_all,0.46,-0.6811535610807897
I2M,death_30d,treat_none,0.46,0.0
I2M,death_30d,treat_all,0.47000000000000003,-0.712873439591748
I2M,death_30d,treat_none,0.47000000000000003,0.0
I2M,death_30d,treat_all,0.48000000000000004,-0.7458133134300509
I2M,death_30d,treat_none,0.48000000000000004,0.0
I2M,death_30d,treat_all,0.49,-0.7800449470267184
I2M,death_30d,treat_none,0.49,0.0
I2M,death_30d,treat_all,0.5,-0.8156458459672529
I2M,death_30d,treat_none,0.5,0.0
I2M,composite_30d,uni:ehr_only,0.01,0.12414625331544676
I2M,composite_30d,uni:ehr_only,0.02,0.11550599621291815
I2M,composite_30d,uni:ehr_only,0.03,0.10690640375610336
I2M,composite_30d,uni:ehr_only,0.04,0.09831716191631291
I2M,composite_30d,uni:ehr_only,0.05,0.08978328173374613
I2M,composite_30d,uni:ehr_only,0.060000000000000005,0.08060333148394255
I2M,composite_30d,uni:ehr_only,0.06999999999999999,0.07213234479026065
I2M,composite_30d,uni:ehr_only,0.08,0.06364858807709547
I2M,composite_30d,uni:ehr_only,0.09,0.055251601036925474
I2M,composite_30d,uni:ehr_only,0.09999999999999999,0.046829728454955866
I2M,composite_30d,uni:ehr_only,0.11,0.03851159367951977
I2M,composite_30d,uni:ehr_only,0.12,0.030156017421026526
I2M,composite_30d,uni:ehr_only,0.13,0.021922028676383445
