outcome,a,b,spearman,err_corr,disagree,yule_q,kappa,joint_miss,auc_a,auc_b,gap
composite_30d,ecg,inter,0.44488384423616795,0.6578156328797549,0.35207823960880197,0.5123556434916281,0.26854190567710273,0.0182648401826484,0.7350513282397158,0.8294991562554714,0.09444782801575569
composite_30d,ecg,late,0.6321495991738145,0.7718282403091264,0.27383863080684595,0.7370728132702685,0.430132691826227,0.0319634703196347,0.7350513282397158,0.8495868283476679,0.1145355001079521
composite_30d,ctpa,early,0.5708687717972261,0.7373239999348865,0.29706601466992666,0.6822102653747454,0.38622247405076676,0.0410958904109589,0.7320582103163478,0.8295399739411301,0.09748176362478234
composite_30d,ctpa,pca10,0.5990065125045595,0.7551843734164793,0.2885085574572127,0.7044652920237738,0.4030111064896349,0.0365296803652968,0.7320582103163478,0.8281704331723182,0.09611222285597043
composite_30d,ctpa,inter,0.5459824703475673,0.7221613993551181,0.30440097799511,0.6624848821987718,0.3701261250674538,0.0502283105022831,0.7320582103163478,0.8294991562554714,0.09744094593912367
composite_30d,ctpa,late,0.5854005592201417,0.7434950878021196,0.2860635696821516,0.7109231156064207,0.40718304166647296,0.0365296803652968,0.7320582103163478,0.8495868283476679,0.11752861803132009
composite_30d,early,pca10,0.7954573896687157,0.8610955889221434,0.1784841075794621,0.9032088757006564,0.6246639188282455,0.0319634703196347,0.8295399739411301,0.8281704331723182,0.0013695407688119055
composite_30d,early,inter,0.77993940648512,0.8504517287514785,0.20660146699266504,0.8630886003093636,0.5655356320683116,0.0410958904109589,0.8295399739411301,0.8294991562554714,4.081768565866728e-05
composite_30d,early,late,0.9082161933505792,0.9365585405968208,0.12469437652811736,0.9576897974716176,0.7371941357212941,0.0547945205479452,0.8295399739411301,0.8495868283476679,0.02004685440653775
composite_30d,pca10,inter,0.7600720271997884,0.8373245149755153,0.19926650366748166,0.8738920043951975,0.5799835879407591,0.0273972602739726,0.8281704331723182,0.8294991562554714,0.0013287230831532382
composite_30d,pca10,late,0.8956271458644933,0.9280453799311948,0.1271393643031785,0.9554524361948956,0.7313879122666039,0.0365296803652968,0.8281704331723182,0.8495868283476679,0.021416395175349656
