direction,outcome,arch,n,ev,auc,ap,ehr_ref,gain,lo,hi,pgt
M2M,cv_first,late:wsrc,1506,76,0.7844865660655134,0.16720583311187576,0.7750782112624218,0.009353542841415286,-0.01747807051613035,0.03419653998776719,0.769
M2M,cv_first,uni:ehr_only,1506,76,0.7750782112624218,0.14095017280304672,0.7750782112624218,0.0,0.0,0.0,0.5
M2M,cv_first,uni:ctpa_only,1506,76,0.6592611336032389,0.09906512345552931,0.7750782112624218,-0.11580605945819272,-0.1973105906981923,-0.039521916756891776,0.002
I2I,death_30d,early:plain,3300,246,0.7995378578540205,0.24347600125674282,0.779259907039149,0.02082786644818075,0.0012853460667966278,0.040653955925296505,0.983
I2I,death_30d,early:blockstd,3300,246,0.799471305125625,0.23601111095975294,0.779259907039149,0.02051088768756544,0.00516049261720401,0.036434892410050525,0.996
I2I,death_30d,early:pca,3300,246,0.7915914620835796,0.2344644724481988,0.779259907039149,0.012789399889573127,-0.006348470422211811,0.03166300396910036,0.9055
I2I,death_30d,inter:plain,3300,246,0.7612793564084954,0.22789928478984744,0.779259907039149,-0.017627892117989718,-0.04927290906231023,0.013984091425396444,0.1365
I2I,death_30d,inter:gated,3300,246,0.7523666150217494,0.22965039407224827,0.779259907039149,-0.02651811650100789,-0.057234111104059585,0.004703157424946255,0.045
I2I,death_30d,inter:moddrop,3300,246,0.7554360268553569,0.2346250153644194,0.779259907039149,-0.023388161153159663,-0.05567228430617242,0.00740945343752684,0.0675
I2I,death_30d,inter:lowrank,3300,246,0.7574632229622885,0.22612586733886905,0.779259907039149,-0.02152401948546339,-0.05196230150051047,0.00957735898054045,0.088
I2I,death_30d,inter:bilinear,3300,246,0.7748933825291101,0.2282771756330419,0.779259907039149,-0.004297300592817714,-0.03247961038169361,0.02545806098656094,0.391
I2I,death_30d,inter:tucker,3300,246,0.7625278855931977,0.2293535006604305,0.779259907039149,-0.016456800441344798,-0.04504308971224118,0.01192223886404069,0.133
I2I,death_30d,inter:crossattn,3300,246,0.7533342916926222,0.22578533954801902,0.779259907039149,-0.02558052418847008,-0.05683707366689516,0.004884899696228804,0.0505
I2I,death_30d,late:mean,3300,246,0.7920200616544476,0.23250417477573174,0.779259907039149,0.013226785582129214,-0.007535842763593056,0.03575616913464903,0.884
I2I,death_30d,late:wsrc,3300,246,0.7951440467253396,0.23877302868544883,0.779259907039149,0.016264022304952833,-4.0818985640295104e-05,0.03401231625790524,0.9745
I2I,death_30d,uni:ehr_only,3300,246,0.779259907039149,0.23534945725000717,0.779259907039149,0.0,0.0,0.0,0.5
I2I,death_30d,uni:ctpa_only,3300,246,0.6990033063395468,0.1504602526360263,0.779259907039149,-0.07939970440247006,-0.11961154213114296,-0.03635007338075273,0.0
I2I,composite_30d,early:plain,3300,505,0.7552921589117767,0.3360231423266533,0.7556063692236845,-0.00018047091295397537,-0.012023780295389369,0.011154654343127297,0.4915
I2I,composite_30d,early:blockstd,3300,505,0.7620793850404718,0.3412687947976759,0.7556063692236845,0.0065909128237438795,-0.004090336435622749,0.01702689342348634,0.8885
I2I,composite_30d,early:pca,3300,505,0.7552482332311944,0.3361333125132963,0.7556063692236845,-0.00031310691990714537,-0.011549621626880575,0.010833952138300077,0.4745
I2I,composite_30d,inter:plain,3300,505,0.725056412618006,0.29945212673971006,0.7556063692236845,-0.030850695857005138,-0.051509710937633464,-0.011515304751837846,0.0
I2I,composite_30d,inter:gated,3300,505,0.7169089073486954,0.2847832439031729,0.7556063692236845,-0.03877699624614462,-0.058762759593851605,-0.019920834229772918,0.0
I2I,composite_30d,inter:moddrop,3300,505,0.7281354611310862,0.3003806478710219,0.7556063692236845,-0.0276279081014987,-0.0486173777953072,-0.007637837284491035,0.0005
I2I,composite_30d,inter:lowrank,3300,505,0.7170470606989142,0.28940382943173354,0.7556063692236845,-0.03864609059456721,-0.05871577977176672,-0.019707013689824693,0.0
I2I,composite_30d,inter:bilinear,3300,505,0.7209486530048353,0.2830082565167797,0.7556063692236845,-0.034765968615423956,-0.05373972574049739,-0.015738102051575678,0.0
I2I,composite_30d,inter:tucker,3300,505,0.7243883171859224,0.29529670488543336,0.7556063692236845,-0.03133809604035656,-0.04916960973192207,-0.014449059087966475,0.0
I2I,composite_30d,inter:crossattn,3300,505,0.7166786517649976,0.2938801155360107,0.7556063692236845,-0.03893877181626148,-0.059120638277932326,-0.01930218686142291,0.0
