direction,outcome,scaler,arch,n,ev,auc,cross,gain,lo,hi
M2M,death_30d,tgtfit,ehr_only,1649,152,0.8726927539289104,False,0.0002060975418147799,-0.0011807292809200315,0.0016333379186244663
M2M,death_30d,tgtfit,early,1649,152,0.8750527370530535,False,0.002692319788942627,-0.013103480567708043,0.017187629528522676
M2M,death_30d,tgtfit,late_mean,1649,152,0.8682035122877334,False,-0.004314769143350976,-0.02757560083487823,0.01850118581043522
M2M,death_30d,tgtfit,late_wsrc,1649,152,0.8840773652568295,False,0.01157647340517854,-0.001140052840025632,0.02463980139588739
M2M,death_30d,coral,ehr_only,1649,152,0.8709656154414092,False,-0.001644148537325877,-0.007531283626736048,0.003928795411364641
M2M,death_30d,coral,early,1649,152,0.8703723235945576,False,-0.0021062651916215393,-0.020318845286819508,0.014073591101143198
M2M,death_30d,coral,late_mean,1649,152,0.8685924480540026,False,-0.004011556884820706,-0.027317525103530332,0.018613607331894218
M2M,death_30d,coral,late_wsrc,1649,152,0.8819041591955842,False,0.00927546469022163,-0.004563450897248367,0.02287154978203455
M2M,composite_30d,std,ehr_only,1649,219,0.834744707347447,False,,,
M2M,composite_30d,std,early,1649,219,0.8227927323817734,False,-0.011751551434463037,-0.027758049436751114,0.0037864625390312536
M2M,composite_30d,std,late_mean,1649,219,0.8164734808570425,False,-0.01824345030346084,-0.038336377185381326,0.0005050167609049679
M2M,composite_30d,std,late_wsrc,1649,219,0.8379634064565571,False,0.003227527796617458,-0.007718931366466402,0.013967774819794205
M2M,composite_30d,blockstd,ehr_only,1649,219,0.8324807612478844,False,-0.0026126021581710283,-0.011950036565272968,0.006577658154042076
M2M,composite_30d,blockstd,early,1649,219,0.8389117731583485,False,0.0038205298951045578,-0.009009949619162618,0.01656162638531066
M2M,composite_30d,blockstd,late_mean,1649,219,0.8187470064182394,False,-0.016330871733226116,-0.03747828027940667,0.004331390187459245
M2M,composite_30d,blockstd,late_wsrc,1649,219,0.8370070568700705,False,0.0019189556146796361,-0.010700621821203285,0.01419467851190142
M2M,composite_30d,robust,ehr_only,1649,219,0.8320209470894402,False,-0.0028143177845921345,-0.006531622565765241,0.0009859567416115702
M2M,composite_30d,robust,early,1649,219,0.8357888686655809,False,0.0010299962731328538,-0.008338035224716423,0.011422057511877606
M2M,composite_30d,robust,late_mean,1649,219,0.8177427595235814,False,-0.01707240205768643,-0.037053658815812705,0.0024966897757604514
M2M,composite_30d,robust,late_wsrc,1649,219,0.8382779321135485,False,0.0034671376557948446,-0.006066635684525018,0.013119520941014765
M2M,composite_30d,quantile,ehr_only,1649,219,0.8414934380687805,False,0.006697935694809894,-0.0027088034017396898,0.01617962648636935
M2M,composite_30d,quantile,early,1649,219,0.8428489318900276,False,0.00808396879445457,-0.005512274148339516,0.02215593295608544
M2M,composite_30d,quantile,late_mean,1649,219,0.82143085225277,False,-0.013318976472345615,-0.034222842331863415,0.008190604937102126
M2M,composite_30d,quantile,late_wsrc,1649,219,0.8430101861608711,False,0.008237296295105917,-0.004380184462200729,0.02088102269497837
M2M,composite_30d,tgtfit,ehr_only,1649,219,0.8348756266564485,False,0.00011811305015784768,-0.001287957512522747,0.0014992184360572505
M2M,composite_30d,tgtfit,early,1649,219,0.8217166395248586,False,-0.012829233001745115,-0.029430006832916637,0.0029667149237670174
M2M,composite_30d,tgtfit,late_mean,1649,219,0.8153526838458345,False,-0.01935395051699799,-0.039867537354660025,-0.000430583248776731
M2M,composite_30d,tgtfit,late_wsrc,1649,219,0.8372257879107194,False,0.0024829978126780098,-0.008426214054414936,0.013416390720818024
M2M,composite_30d,coral,ehr_only,1649,219,0.8318070057796085,False,-0.0029882391584170266,-0.008083599872680591,0.0015591406083124953
