outcome,stage,method,mean,sd,vs_late,value,leaf,depth,na,nb,nc,mfeat,k,reg,ntree,lo,hi,boot,boot_lo,boot_hi,sig,boot2,sig2,slope,slope_platt,vs_late2,vs_per_outcome
composite_30d,A,n_ctpa,0.853713066707914,0.0015872636318659892,0.0030590707101955106,8.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ctpa,0.8519097843214972,0.003568227140326586,0.001255788323778706,16.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ctpa,0.847922003847604,0.005623596793390802,-0.0027319921501145483,24.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ctpa,0.8363305330252672,0.0047856185788881745,-0.01432346297245135,46.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8576979469778264,0.0023053075781888123,0.007043950980107905,,1.0,6.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8545090115782588,0.0020766981660235305,0.003855015580540244,,1.0,12.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.853713066707914,0.0015872636318659892,0.0030590707101955106,,1.0,-1.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8580176139055112,0.0022180207085050556,0.007363617907792719,,2.0,6.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.856561067017269,0.0022061382478858805,0.005907071019550458,,2.0,12.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8571088833247937,0.003034620152442701,0.0064548873270752205,,2.0,-1.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.858597654701714,0.002284470346184608,0.007943658703995493,,5.0,6.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8595160526290349,0.0022328182873023396,0.00886205663131634,,5.0,12.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8597396905804597,0.0023939617967352685,0.009085694582741222,,5.0,-1.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8593723314095314,0.0026572026913689387,0.008718335411812883,,10.0,6.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8600948044456903,0.0029420476379954127,0.009440808447971794,,10.0,12.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8600902930172755,0.00296290496507232,0.00943629701955695,,10.0,-1.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8606903129964586,0.002387171329368323,0.01003631699874008,,25.0,6.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8609049280910535,0.0024136428123344186,0.010250932093334941,,25.0,12.0,,,,,,,,,,,,,,,,,,,
composite_30d,B,leaf_depth,0.8609094395194683,0.0023952714098736437,0.010255443521749785,,25.0,-1.0,,,,,,,,,,,,,,,,,,,
composite_30d,B2,mfeat,0.8609094395194683,0.0023952714098736437,0.010255443521749785,-1.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,B2,mfeat,0.8589102322418899,0.0016229671055968636,0.008256236244171378,0.25,,,,,,,,,,,,,,,,,,,,,
composite_30d,B2,mfeat,0.8607444501374374,0.0018154136959796778,0.010090454139718874,0.5,,,,,,,,,,,,,,,,,,,,,
composite_30d,B2,mfeat,0.8609094395194683,0.0023952714098736437,0.010255443521749785,1.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,C,cca_k,0.8603925587210745,0.002495238521967037,0.009738562723355937,5.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,C,cca_k,0.8608527244193953,0.002369951328821149,0.010198728421676795,10.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,C,cca_k,0.8609094395194683,0.0023952714098736437,0.010255443521749785,20.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,C,cca_reg,0.8605917060611039,0.0023995374300544883,0.009937710063385397,0.1,,,,,,,,,,,,,,,,,,,,,
composite_30d,C,cca_reg,0.8609094395194683,0.0023952714098736437,0.010255443521749785,0.5,,,,,,,,,,,,,,,,,,,,,
composite_30d,D,ntree,0.8596172375234834,0.0017631095308251465,0.008963241525764887,300.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,D,ntree,0.8609094395194683,0.0023952714098736437,0.010255443521749785,600.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,D,ntree,0.8615732639862337,0.0023227184775682455,0.010919267988515169,1200.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,E,rotation,0.8631380851564338,0.0012484080503907635,0.01248408915871524,,,,,,,,,,,,,,,,,,,,,,
composite_30d,E,final,0.8604544297393361,0.0026273294873566714,0.009800433741617542,,25.0,-1.0,14.0,4.0,8.0,-1.0,20.0,0.5,1200.0,0.8564850172239892,0.8632940516816349,0.011201384472339445,0.0012832328378837687,0.021498264333722327,1.0,0.01551615772783091,1.0,1.7788537681205185,0.9807957437343529,0.01416846318191034,
cv_first,ref,ehr,0.8096515990045685,,-0.001105003157152007,,,,,,,,,,,,,,,,,,,,,,
cv_first,ref,ecg,0.6773576495932845,,-0.13339895256843604,,,,,,,,,,,,,,,,,,,,,,
cv_first,ref,ctpa,0.6216432046948706,,-0.18911339746684996,,,,,,,,,,,,,,,,,,,,,,
cv_first,ref,late_2mod,0.8104083868811054,,-0.0003482152806151273,,,,,,,,,,,,,,,,,,,,,,
cv_first,ref,late_3mod,0.8107566021617205,,0.0,,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ehr,0.7755079300226572,0.013886367848770696,-0.03524867213906335,14.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ehr,0.7749582141663263,0.007721339587758657,-0.035798387995394254,20.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ehr,0.7760056457304163,0.007974159594445293,-0.034750956431304214,28.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ehr,0.7692010548601569,0.00795164423408264,-0.04155554730156363,38.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ecg,0.7771849348140994,0.004279622811115718,-0.03357166734762107,4.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ecg,0.7760056457304163,0.007974159594445293,-0.034750956431304214,8.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ecg,0.7767206477732793,0.0037328958154536594,-0.0340359543884412,16.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ctpa,0.7799492998551424,0.00449009690378499,-0.030807302306578133,8.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ctpa,0.7771849348140994,0.004279622811115718,-0.03357166734762107,16.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ctpa,0.7725671359061026,0.006415445350085008,-0.03818946625561792,24.0,,,,,,,,,,,,,,,,,,,,,
cv_first,A,n_ctpa,0.7699829142368978,0.005297230289424163,-0.04077368792482272,46.0,,,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8011440032685808,0.008684881952693312,-0.009612598893139701,,1.0,6.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.789213683467667,0.006956429946191994,-0.02154291869405356,,1.0,12.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.7799492998551424,0.00449009690378499,-0.030807302306578133,,1.0,-1.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8015340043828697,0.008519365849923643,-0.009222597778850816,,2.0,6.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.7908015451472717,0.007393776591546259,-0.019955057014448774,,2.0,12.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.7842188834825242,0.006001511569911218,-0.026537718679196298,,2.0,-1.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8014727184934815,0.006923201384463049,-0.009283883668239068,,5.0,6.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.7929056940162686,0.002663313317776929,-0.01785090814545187,,5.0,12.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.7948148423281209,0.0016891551227533146,-0.015941759833599578,,5.0,-1.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.803006722876351,0.006572768499018375,-0.007749879285369521,,10.0,6.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8009322883779667,0.00435152146627079,-0.009824313783753813,,10.0,12.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8008394309698026,0.0040279409468641685,-0.009917171191917928,,10.0,-1.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8087657393306837,0.006809328142301461,-0.001990862831036777,,25.0,6.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8089273112208891,0.004829821676896532,-0.0018292909408313962,,25.0,12.0,,,,,,,,,,,,,,,,,,,
cv_first,B,leaf_depth,0.8089124540355828,0.004824657723168837,-0.0018441481261377568,,25.0,-1.0,,,,,,,,,,,,,,,,,,,
cv_first,B2,mfeat,0.8089273112208891,0.004829821676896532,-0.0018292909408313962,-1.0,,,,,,,,,,,,,,,,,,,,,
cv_first,B2,mfeat,0.814064183040523,0.006497163905861653,0.003307580878802452,0.25,,,,,,,,,,,,,,,,,,,,,
cv_first,B2,mfeat,0.8138543252980724,0.003431465079447809,0.0030977231363519264,0.5,,,,,,,,,,,,,,,,,,,,,
cv_first,B2,mfeat,0.8089273112208891,0.004829821676896532,-0.0018292909408313962,1.0,,,,,,,,,,,,,,,,,,,,,
cv_first,C,cca_k,0.8141421832633806,0.00802229054963459,0.0033855811016600956,5.0,,,,,,,,,,,,,,,,,,,,,
cv_first,C,cca_k,0.817785907959737,0.006209470767800308,0.0070293057980165274,10.0,,,,,,,,,,,,,,,,,,,,,
cv_first,C,cca_k,0.814064183040523,0.006497163905861653,0.003307580878802452,20.0,,,,,,,,,,,,,,,,,,,,,
cv_first,C,cca_reg,0.8168146194703414,0.00696555164725071,0.006058017308620878,0.1,,,,,,,,,,,,,,,,,,,,,
cv_first,C,cca_reg,0.817785907959737,0.006209470767800308,0.0070293057980165274,0.5,,,,,,,,,,,,,,,,,,,,,
cv_first,D,ntree,0.8164116183189096,0.004389101632713172,0.005655016157189108,300.0,,,,,,,,,,,,,,,,,,,,,
cv_first,D,ntree,0.817785907959737,0.006209470767800308,0.0070293057980165274,600.0,,,,,,,,,,,,,,,,,,,,,
cv_first,D,ntree,0.8176614790327973,0.007299869845284525,0.0069048768710767705,1200.0,,,,,,,,,,,,,,,,,,,,,
cv_first,E,rotation,0.8218679196226276,0.007812908319590205,0.0111113174609071,,,,,,,,,,,,,,,,,,,,,,
cv_first,E,final,0.8179762656464733,0.006274979774889198,0.007219663484752781,,25.0,12.0,28.0,4.0,8.0,0.25,10.0,0.5,600.0,0.8073580210229173,0.8265052185863389,0.007295390820264119,-0.012846739842562568,0.02880071031325673,0.0,0.007666801383322742,0.0,1.1956921756310157,0.9570649174458933,0.007567878765367908,
death_30d_inhosp,F,compromise,0.9113375588639165,0.004324352789463039,0.039340879293089825,,25.0,6.0,14.0,4.0,8.0,0.5,10.0,0.5,1200.0,,,,,,,,,,,0.042374262019099995,-0.0029643364184364085
death_30d,F,compromise,0.8983317669172933,0.0036666908652427384,0.013620726344162337,,25.0,6.0,14.0,4.0,8.0,0.5,10.0,0.5,1200.0,,,,,,,,,,,0.01657327280465326,-0.005257837991204384
composite_30d,F,compromise,0.8601080164860484,0.0013726892943595936,0.009454020488329884,,25.0,6.0,14.0,4.0,8.0,0.5,10.0,0.5,1200.0,,,,,,,,,,,0.013822049928622682,-0.0003464132532876585
cv_first,F,compromise,0.8167849050997289,0.005595754143841225,0.006028302938008379,,25.0,6.0,14.0,4.0,8.0,0.5,10.0,0.5,1200.0,,,,,,,,,,,0.006376518218623506,-0.0011913605467444022
