direction,outcome,config,drop,wd,mode,params,auc,src_auc,overfit,ehr_ref,late_ref,early_ref,gain,lo,hi,vs_late,vs_early,sig
M2I,death_30d,wd1e0,0.5,1.0,mlp,3905,0.5,0.5,0.0,0.7719883559346399,0.7955526804776889,0.7832257841242459,-0.27157894486325096,-0.30000692053972794,-0.24153060548836083,-0.2955526804776889,-0.2832257841242459,1
M2I,death_30d,wd3e1,0.5,0.3,mlp,3905,0.7696823038957306,0.890739812959252,0.12105750906352142,0.7719883559346399,0.7955526804776889,0.7832257841242459,-0.002391500640910887,-0.011240380953419846,0.00618018239831734,-0.025870376581958343,-0.01354348022851537,0
M2I,death_30d,identity,0.0,0.0001,identity,1089,0.7572655613589535,0.9931749463839961,0.23590938502504255,0.7719883559346399,0.7955526804776889,0.7832257841242459,-0.01469636992050954,-0.03523372789221596,0.006334888944299697,-0.03828711911873539,-0.025960222765292418,0
M2I,death_30d,id_drop50,0.5,0.0001,identity,1089,0.7844629993451212,0.9342193158246317,0.1497563164795105,0.7719883559346399,0.7955526804776889,0.7832257841242459,0.012640653906081399,-0.003956994639230252,0.029827151345801207,-0.011089681132567697,0.0012372152208752762,0
M2I,death_30d,linear,0.0,0.0001,linear,67,0.7840097752647467,0.9229775340153992,0.13896775875065248,0.7719883559346399,0.7955526804776889,0.7832257841242459,0.012186944046140166,-0.004494798813306733,0.02960259715912176,-0.011542905212942212,0.0007839911405007616,0
M2I,death_30d,linear_wd,0.0,0.1,linear,67,0.786135469409704,0.9203802341525157,0.13424476474281166,0.7719883559346399,0.7955526804776889,0.7832257841242459,0.014301183829188725,-0.0008595538121710544,0.03012193361650567,-0.009417211067984876,0.002909685285458097,0
M2I,composite_30d,drop80,0.8,0.0001,mlp,3905,0.7521741440691475,0.8883002841906951,0.13612614012154756,0.7408009351919091,0.751952744469438,0.7488230397279442,0.01136844455106289,0.0047834882211934635,0.018495063482537776,0.00022139959970945977,0.003351104341203337,1
M2I,composite_30d,drop90,0.9,0.0001,mlp,3905,0.5937207531128783,0.6595171951336335,0.06579644202075519,0.7408009351919091,0.751952744469438,0.7488230397279442,-0.1470584444429304,-0.1789782235559359,-0.11430061662759419,-0.15823199135655974,-0.15510228661506587,1
M2I,composite_30d,drop93,0.93,0.0001,mlp,3905,0.5695301014895765,0.5572021585720216,-0.012327942917554902,0.7408009351919091,0.751952744469438,0.7488230397279442,-0.17179478386860145,-0.20332166365116985,-0.13863433138573217,-0.18242264297986155,-0.17929293823836767,1
M2I,composite_30d,drop95,0.95,0.0001,mlp,3905,0.5855930852477018,0.5557764153654565,-0.029816669882245295,0.7408009351919091,0.751952744469438,0.7488230397279442,-0.1554157340656183,-0.18571732549254588,-0.12420389292461549,-0.16635965922173623,-0.16322995448024236,1
M2I,composite_30d,drop97,0.97,0.0001,mlp,3905,0.5483352521298641,0.5350480569658651,-0.01328719516399901,0.7408009351919091,0.751952744469438,0.7488230397279442,-0.19258086048398332,-0.22675803679997422,-0.15862220809931427,-0.20361749233957394,-0.20048778759808006,1
M2I,composite_30d,wd1e0,0.5,1.0,mlp,3905,0.5,0.5,0.0,0.7408009351919091,0.751952744469438,0.7488230397279442,-0.24068404055233106,-0.26300426715716974,-0.2181498689864051,-0.25195274446943805,-0.24882303972794417,1
M2I,composite_30d,wd3e1,0.5,0.3,mlp,3905,0.5,0.5,0.0,0.7408009351919091,0.751952744469438,0.7488230397279442,-0.24068404055233106,-0.26300426715716974,-0.2181498689864051,-0.25195274446943805,-0.24882303972794417,1
M2I,composite_30d,identity,0.0,0.0001,identity,1089,0.717044226784038,0.9855126608551267,0.26846843407108867,0.7408009351919091,0.751952744469438,0.7488230397279442,-0.023777500837762,-0.04209287438844202,-0.005864012256787875,-0.03490851768540004,-0.031778812943906165,1
