outcome,method,kind,mean,sd,vs_best,members,weights
death_30d,late,base,0.8864304038397881,0.0018357004316222403,,,
death_30d,all/mean,combo,0.8855223258618244,0.0025602304430339014,-0.0009080779779636616,ehr+ecg+ctpa+early+pca10+inter+late,
death_30d,all/grid,combo,0.8927293173972668,0.0007633610163676647,0.006298913557478691,ehr+ecg+ctpa+early+pca10+inter+late,[0.25 0.1  0.05 0.   0.5  0.05 0.05]
death_30d,all/superlearner,combo,0.8915434222348324,0.0006935786094012067,0.0051130183950443,ehr+ecg+ctpa+early+pca10+inter+late,[0.   0.   0.   0.   0.44 0.   0.56]
death_30d,all/stack,combo,0.8862427294651724,0.00077437394504143,-0.00018767437461575387,ehr+ecg+ctpa+early+pca10+inter+late,
death_30d,strategies/mean,combo,0.8814422554026576,0.004692058101238818,-0.0049881484371304685,early+inter+late,
death_30d,strategies/grid,combo,0.8874116304913225,0.0024415819444360384,0.0009812266515344392,early+inter+late,[0.   0.05 0.95]
death_30d,strategies/superlearner,combo,0.8869550054381237,0.0022127765426772725,0.0005246015983355612,early+inter+late,[0. 0. 1.]
death_30d,strategies/stack,combo,0.8808592826405638,0.0029608698209620597,-0.005571121199224316,early+inter+late,
death_30d,top3/mean,combo,0.8886241251714191,0.002169456088576142,0.0021937213316309823,late+pca10+early,
death_30d,top3/grid,combo,0.8917975954036033,0.0006315985314973744,0.005367191563815155,late+pca10+early,[0.5 0.5 0. ]
death_30d,top3/superlearner,combo,0.8915434222348324,0.0006935786094012067,0.0051130183950443,late+pca10+early,[0.56 0.44 0.  ]
death_30d,top3/stack,combo,0.8877012696836429,0.0004451833668120548,0.0012708658438548293,late+pca10+early,
death_30d,pruned/grid,combo,0.8864304038397881,0.0018357004316222403,0.0,late+ecg,
composite_30d,ehr,base,0.8335830731205872,0.004631756588644537,,,
composite_30d,ecg,base,0.7350513282397158,0.009915083130490013,,,
composite_30d,ctpa,base,0.7320582103163478,0.005728845951682882,,,
composite_30d,early,base,0.8295399739411301,0.004086004594749607,,,
composite_30d,pca10,base,0.8281704331723182,0.0036277981479360304,,,
composite_30d,inter,base,0.8294991562554714,0.007175487996254768,,,
composite_30d,late,base,0.8495868283476679,0.0017732550334206578,,,
composite_30d,all/mean,combo,0.8516577888200358,0.0010369565573418186,0.0020709604723679886,ehr+ecg+ctpa+early+pca10+inter+late,
composite_30d,all/grid,combo,0.8568824525843503,0.0016846238210084714,0.0072956242366823965,ehr+ecg+ctpa+early+pca10+inter+late,[0.25 0.2  0.05 0.   0.15 0.3  0.05]
