outcome,strategy,draws,n_ehr,n_ecg,n_ctpa,ehr_share,mean_all,sd_all,mean_cc,mean_noct,vs_bar
composite_30d,masked,28+8+8,28,8,8,63.63636363636363,0.8218526857271582,0.0039432497708605276,0.8484056934226596,0.8113092498849517,-0.022447314272841856
composite_30d,masked,20+8+16,20,8,16,45.45454545454545,0.8253864558204473,0.0034657845373300077,0.8536834201783302,0.8171108589745625,-0.01891354417955271
composite_30d,ccs_rank,28+4+4,28,4,4,77.77777777777777,0.8362710246943073,0.0023620081500854945,0.8416333948821066,0.8344286065664821,-0.008028975305692798
composite_30d,ccs_rank,28+2+2,28,2,2,87.5,0.8347542884868409,0.0014042932954826033,0.838411268259201,0.8341050827554468,-0.009545711513159194
composite_30d,ccs_rank,38+4+4,38,4,4,82.6086956521739,0.8305709483252652,0.00237990699872414,0.8343036126874257,0.8298143754859799,-0.013729051674734816
composite_30d,ccs_rank,20+4+4,20,4,4,71.42857142857143,0.8401660314957317,0.002719290397442904,0.8456917469862045,0.8382374994049224,-0.004133968504268393
composite_30d,ccs_rank,28+4+2,28,4,2,82.3529411764706,0.8353852923374745,0.0021240645875917922,0.8395056118947032,0.8344286065664821,-0.008914707662525556
composite_30d,ccs_rank,28+2+4,28,2,4,82.3529411764706,0.8352389286549766,0.001979331142373021,0.8395855286266245,0.8341050827554468,-0.00906107134502343
composite_30d,ccs_rank,28+8+8,28,8,8,63.63636363636363,0.8371940751486227,0.002071025378497026,0.8433358146189616,0.8348225478839044,-0.007105924851377399
composite_30d,ccs_rank,20+8+16,20,8,16,45.45454545454545,0.8412959096147015,0.0013774565963791529,0.8477885944644774,0.8387036434612882,-0.0030040903852985856
cv_first,complete,28+4+4,28,4,4,77.77777777777777,0.7815371615347473,0.00907844398673915,0.7815371615347473,,-0.004962838465252695
cv_first,complete,28+2+2,28,2,2,87.5,0.7833840953831297,0.010740113185340782,0.7833840953831297,,-0.0031159046168702798
cv_first,complete,38+4+4,38,4,4,82.6086956521739,0.7748337852393864,0.013403648200064048,0.7748337852393864,,-0.01166621476061358
