outcome,method,na,nb,mean,sd,vs_late,vs_ehr
cv_first,prop_rf,27.0,,0.7748181417392263,0.00328001771019759,-0.04726090755932044,-0.04179236667663866
cv_first,prop_rf,47.0,,0.7845150840011967,0.007509973432770104,-0.037563965297349955,-0.03209542441466817
cv_first,prop_rf,78.0,,0.7848083402875092,0.004845037663152144,-0.03727070901103746,-0.03180216812835568
cv_first,prop_rf,125.0,,0.7844001432822661,0.0022581758246425694,-0.037678906016280544,-0.03221036513359876
cv_first,prop_rf,187.0,,0.7830678937506887,0.005508859279920604,-0.039011155547857945,-0.03354261466517616
cv_first,block,4.0,4.0,0.779006786226008,0.006954195567688987,-0.04307226307253864,-0.03760372218985686
cv_first,block,4.0,8.0,0.7782250318842405,0.003447892233136469,-0.04385401741430617,-0.038385476531624385
cv_first,block,8.0,8.0,0.7904118971516745,0.004540044263687712,-0.03166715214687221,-0.02619861126419043
cv_first,block,8.0,16.0,0.7892050196029035,0.003730502422177874,-0.032874029695643237,-0.027405488812961454
cv_first,block,14.0,8.0,0.7954736187432099,0.005127907066190649,-0.026605430555336818,-0.021136889672655035
cv_first,block,14.0,16.0,0.7958038764938358,0.006275463344039385,-0.026275172804710922,-0.02080663192202914
cv_first,block_rot,4.0,4.0,0.788139062524602,0.0029959833919536677,-0.03393998677394472,-0.028471445891262936
cv_first,block_rot,4.0,8.0,0.7873742343845948,0.004230517623492225,-0.03470481491395194,-0.02923627403127016
cv_first,block_rot,8.0,8.0,0.800612098691565,0.005960233789105758,-0.021466950606981672,-0.01599840972429989
cv_first,block_rot,8.0,16.0,0.7916644360819387,0.005499127255085845,-0.03041461321660799,-0.024946072333926206
cv_first,block_rot,14.0,8.0,0.8026841806931083,0.0027518530960737022,-0.019394868605438376,-0.013926327722756593
cv_first,block_rot,14.0,16.0,0.8027026814252649,0.0038881737691507973,-0.019376367873281786,-0.013907826990600003
