outcome,pair,method,param,k,nfeat,n_selected,mean,sd,vs_late
death_30d,ehr+ecg,spca,0.5,10.0,292,231.96666666666667,0.7557336738071595,0.007382469012467293,-0.11056495897763274
death_30d,ehr+ecg,spca,0.5,20.0,292,231.96666666666667,0.797050852366766,0.005556107617608165,-0.06924778041802626
death_30d,ehr+ecg,lol,5.0,5.0,292,,0.8033150387761857,0.006831424092826448,-0.06298359400860654
death_30d,ehr+ecg,lol,10.0,10.0,292,,0.8265837057265807,0.006626682845996443,-0.03971492705821156
death_30d,ehr+ecg,lol,20.0,20.0,292,,0.8319952298198326,0.004564437918678355,-0.034303402964959595
death_30d,ehr+ecg,lol,30.0,30.0,292,,0.8286872842483567,0.005200374388057812,-0.03761134853643555
death_30d,ecg+ctpa,late_wsrc,,,310,,0.8147321428571428,0.00408790227493942,0.0
death_30d,ecg+ctpa,early,,,310,,0.804877760438833,0.006138331184375996,-0.009854382418309826
death_30d,ecg+ctpa,coop,0.0,,310,,0.804877760438833,0.006138331184375996,-0.009854382418309826
death_30d,ecg+ctpa,coop,0.2,,310,,0.8043058708090983,0.005108420009201907,-0.010426272048044471
death_30d,ecg+ctpa,coop,0.5,,310,,0.8075096349363976,0.005292692581630655,-0.0072225079207451914
death_30d,ecg+ctpa,coop,1.0,,310,,0.8096065635787583,0.005462764058054232,-0.005125579278384529
death_30d,ecg+ctpa,coop,2.0,,310,,0.8102072693526269,0.005316407810686512,-0.004524873504515914
death_30d,ecg+ctpa,coop,5.0,,310,,0.8079958150092211,0.006414876261438938,-0.006736327847921664
death_30d,ecg+ctpa,spca,0.05,5.0,310,148.0,0.6899944436563107,0.005120300571649161,-0.12473769920083211
death_30d,ecg+ctpa,spca,0.05,10.0,310,148.0,0.7432754941599281,0.005399944792660005,-0.07145664869721469
death_30d,ecg+ctpa,spca,0.05,20.0,310,148.0,0.7705488662694472,0.011540078590264262,-0.04418327658769561
death_30d,ecg+ctpa,spca,0.1,5.0,310,167.33333333333334,0.6897705643826547,0.005631366606906229,-0.12496157847448808
death_30d,ecg+ctpa,spca,0.1,10.0,310,167.33333333333334,0.7317623362651914,0.006318736068464496,-0.08296980659195141
death_30d,ecg+ctpa,spca,0.1,20.0,310,167.33333333333334,0.7713076913983071,0.004993983913176053,-0.04342445145883567
death_30d,ecg+ctpa,spca,0.25,5.0,310,201.16666666666666,0.6913406748002081,0.008786593109892415,-0.12339146805693468
death_30d,ecg+ctpa,spca,0.25,10.0,310,201.16666666666666,0.7220416903106823,0.007254521123478914,-0.09269045254646047
death_30d,ecg+ctpa,spca,0.25,20.0,310,201.16666666666666,0.7597598063555115,0.007772298724803371,-0.05497233650163125
death_30d,ecg+ctpa,spca,0.5,5.0,310,240.33333333333334,0.7006623279897858,0.010799141011450441,-0.11406981486735701
death_30d,ecg+ctpa,spca,0.5,10.0,310,240.33333333333334,0.7155078143471888,0.0061965095306976605,-0.099224328509954
death_30d,ecg+ctpa,spca,0.5,20.0,310,240.33333333333334,0.7441813555114201,0.00443972320963901,-0.07055078734572273
death_30d,ecg+ctpa,lol,5.0,5.0,310,,0.7670111304203905,0.006086081903050936,-0.04772101243675231
death_30d,ecg+ctpa,lol,10.0,10.0,310,,0.7952805066912564,0.005784415899529079,-0.01945163616588641
death_30d,ecg+ctpa,lol,20.0,20.0,310,,0.8085736156428808,0.00612341185898577,-0.006158527214262022
death_30d,ecg+ctpa,lol,30.0,30.0,310,,0.8043908414905188,0.005610735445846859,-0.010341301366624034
composite_30d,ehr+ctpa,late_wsrc,,,74,,0.84349639998754,0.004491287189474313,0.0
composite_30d,ehr+ctpa,early,,,74,,0.8435817948825363,0.00421799842870796,8.539489499626018e-05
composite_30d,ehr+ctpa,coop,0.0,,74,,0.8435817948825363,0.00421799842870796,8.539489499626018e-05
composite_30d,ehr+ctpa,coop,0.2,,74,,0.8459653328950801,0.003182834622232988,0.0024689329075401334
composite_30d,ehr+ctpa,coop,0.5,,74,,0.8460281706480023,0.0030475522007124816,0.0025317706604622847
composite_30d,ehr+ctpa,coop,1.0,,74,,0.8461065835704519,0.002752560417215553,0.0026101835829118736
composite_30d,ehr+ctpa,coop,2.0,,74,,0.8461055094208293,0.0024413975289888567,0.0026091094332892917
composite_30d,ehr+ctpa,coop,5.0,,74,,0.8441145730953447,0.003955922863584652,0.0006181731078046537
composite_30d,ehr+ctpa,spca,0.05,5.0,74,41.86666666666667,0.8275651498599847,0.005164908133109288,-0.015931250127555252
composite_30d,ehr+ctpa,spca,0.05,10.0,74,41.86666666666667,0.8345847176436593,0.005218339977864895,-0.008911682343880734
composite_30d,ehr+ctpa,spca,0.05,20.0,74,41.86666666666667,0.8394914331196849,0.006833033873349242,-0.00400496686785512
composite_30d,ehr+ctpa,spca,0.1,5.0,74,46.53333333333333,0.8239463397814535,0.006107705761427843,-0.019550060206086517
composite_30d,ehr+ctpa,spca,0.1,10.0,74,46.53333333333333,0.8307124082541955,0.006026203198081153,-0.012783991733344546
composite_30d,ehr+ctpa,spca,0.1,20.0,74,46.53333333333333,0.8388813161340495,0.005498064941827109,-0.00461508385349052
composite_30d,ehr+ctpa,spca,0.25,5.0,74,55.833333333333336,0.8218641007380483,0.004462340179222861,-0.021632299249491727
composite_30d,ehr+ctpa,spca,0.25,10.0,74,55.833333333333336,0.8300276378697893,0.00476134357067178,-0.013468762117750721
composite_30d,ehr+ctpa,spca,0.25,20.0,74,55.833333333333336,0.8356153642065417,0.006657698420909944,-0.007881035780998302
composite_30d,ehr+ctpa,spca,0.5,5.0,74,64.53333333333335,0.81508299417059,0.0077208691326092396,-0.028413405816949955
composite_30d,ehr+ctpa,spca,0.5,10.0,74,64.53333333333335,0.8326797132879826,0.0049509097272994506,-0.010816686699557376
composite_30d,ehr+ctpa,spca,0.5,20.0,74,64.53333333333335,0.8309186449817342,0.003968527834751583,-0.012577755005805824
composite_30d,ehr+ctpa,lol,5.0,5.0,74,,0.8439776190184635,0.004179746823328046,0.0004812190309234632
composite_30d,ehr+ctpa,lol,10.0,10.0,74,,0.8346035152620549,0.00592749569829418,-0.008892884725485106
composite_30d,ehr+ctpa,lol,20.0,20.0,74,,0.8339359312716105,0.004572767239479354,-0.009560468715929527
composite_30d,ehr+ctpa,lol,30.0,30.0,74,,0.835042305382886,0.005762305329875991,-0.008454094604653961
composite_30d,ehr+ecg,late_wsrc,,,292,,0.8408037754210934,0.0032243292223064495,0.0
composite_30d,ehr+ecg,early,,,292,,0.8208108970330913,0.005484084915432926,-0.019992878388002122
composite_30d,ehr+ecg,coop,0.0,,292,,0.8208108970330913,0.005484084915432926,-0.019992878388002122
composite_30d,ehr+ecg,coop,0.2,,292,,0.8213726772857098,0.004973368280980139,-0.019431098135383573
composite_30d,ehr+ecg,coop,0.5,,292,,0.8244479676552064,0.00475959621275556,-0.016355807765886965
composite_30d,ehr+ecg,coop,1.0,,292,,0.827154287629341,0.003937512895613008,-0.013649487791752457
composite_30d,ehr+ecg,coop,2.0,,292,,0.8293213844929315,0.004693131761058325,-0.011482390928161945
composite_30d,ehr+ecg,coop,5.0,,292,,0.8310684888540864,0.004199733760930371,-0.009735286567007062
composite_30d,ehr+ecg,spca,0.05,5.0,292,160.93333333333334,0.715924482984933,0.006860780692392638,-0.12487929243616036
composite_30d,ehr+ecg,spca,0.05,10.0,292,160.93333333333334,0.7939260061290977,0.0047766270543878105,-0.04687776929199572
composite_30d,ehr+ecg,spca,0.05,20.0,292,160.93333333333334,0.7898055681768136,0.007284195922279057,-0.050998207244279836
composite_30d,ehr+ecg,spca,0.1,5.0,292,178.53333333333333,0.71871458662963,0.0028672687758492755,-0.12208918879146347
composite_30d,ehr+ecg,spca,0.1,10.0,292,178.53333333333333,0.7874961464882287,0.0035671012208962375,-0.05330762893286467
composite_30d,ehr+ecg,spca,0.1,20.0,292,178.53333333333333,0.7882894059845172,0.008603265638776907,-0.05251436943657617
composite_30d,ehr+ecg,spca,0.25,5.0,292,209.1,0.722565413026642,0.0037374481906064733,-0.1182383623944514
